frame,frame,y,x,bottom,right,class,class_str,score,,,scoress,,,frame,,tem,,,Emotion
1,1,0.13252242,0.4093678,0.43429434,0.5772596,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6988673,,,0.6988673 Neutral,,,1,,97,,,0
2,2,0.13247202,0.40937623,0.4343151,0.57724833,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69374526,,,0.69374526 Neutral,,,2,,97,,,5
3,3,0.13247204,0.40935123,0.43433386,0.57725555,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.693359,,,0.693359 Neutral,,,3,,97,,,-5
4,4,0.13249242,0.40934497,0.43432552,0.5772541,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6935436,,,0.6935436 Neutral,,,4,,97,,,5
5,5,0.1324829,0.40934348,0.43433905,0.57725614,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69321024,,,0.69321024 Neutral,,,5,,97,,,-5
6,6,0.1324814,0.40934482,0.434339,0.5772563,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6931361,,,0.6931361 Neutral,,,6,,97,,,5
7,7,0.13248171,0.40934473,0.43433875,0.5772563,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69314146,,,0.69314146 Neutral,,,7,,97,,,0
8,8,0.13248138,0.4093448,0.43433887,0.5772564,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.693137,,,0.693137 Neutral,,,8,,98,,,0
9,9,0.13247812,0.40933725,0.43433946,0.57725716,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69307536,,,0.69307536 Neutral,,,9,,98,,,0
10,10,0.13247819,0.4093373,0.43433917,0.57725704,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69307613,,,0.69307613 Neutral,,,10,,98,,,0
11,11,0.13247812,0.40933725,0.43433946,0.57725716,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.69307536,,,0.69307536 Neutral,,,11,,98,,,5
12,12,0.13247779,0.40933737,0.43433896,0.57725704,85,97.3 - Up temp/97.4- Lower temp/97-Nose,0.6930805,,,0.6930805 Neutral,,,12,,98,,,-5
